Date,Assay Day,CPB Group,Weight (g),% Defoliation,Alive,Dead,Incapacitated,Pupating,Adults,Notes
06/16/2025,1,C1.1 ,0.4843,N/A,10,0,0,0,0,
06/16/2025,1,C1.2,0.405,N/A,10,0,0,0,0,
06/16/2025,1,C1.3,0.5087,N/A,10,0,0,0,0,
06/16/2025,1,C1.4,0.4465,N/A,10,0,0,0,0,
06/16/2025,1,C1.5,0.633,N/A,10,0,0,0,0,
06/16/2025,1,C2.6 ,0.5118,N/A,10,0,0,0,0,
06/16/2025,1,C2.7,0.5763,N/A,10,0,0,0,0,
06/16/2025,1,C2.8,0.5406,N/A,10,0,0,0,0,
06/16/2025,1,C2.9,0.5849,N/A,10,0,0,0,0,
06/16/2025,1,C2.10,0.5666,N/A,10,0,0,0,0,
06/16/2025,1,GD1.16 ,0.4695,N/A,10,0,0,0,0,
06/16/2025,1,GD1.17,0.5711,N/A,10,0,0,0,0,
06/16/2025,1,GD1.18,0.6398,N/A,10,0,0,0,0,
06/16/2025,1,GD1.19,0.6738,N/A,10,0,0,0,0,
06/16/2025,1,GD1.20,0.7777,N/A,10,0,0,0,0,
06/16/2025,1,GD2.21,0.6449,N/A,10,0,0,0,0,
06/16/2025,1,GD2.22,0.5871,N/A,10,0,0,0,0,
06/16/2025,1,GD2.23,0.7673,N/A,10,0,0,0,0,
06/16/2025,1,GD2.24,0.967,N/A,10,0,0,0,0,
06/16/2025,1,GD2.25,0.3545,N/A,10,0,0,0,0,
06/17/2025,2,C1.1 ,0.7745,30,9,0,1,0,0,
06/17/2025,2,C1.2,0.6948,10,10,0,0,0,0,
06/17/2025,2,C1.3,0.7368,15,10,0,0,0,0,
06/17/2025,2,C1.4,0.961,35,10,0,0,0,0,
06/17/2025,2,C1.5,1.1557,50,10,0,0,0,0,
06/17/2025,2,C2.6 ,0.6859,5,9,1,0,0,0,
06/17/2025,2,C2.7,0.7257,10,10,0,0,0,0,
06/17/2025,2,C2.8,0.584,10,8,1,1,0,0,
06/17/2025,2,C2.9,0.8143,15,9,0,1,0,0,
06/17/2025,2,C2.10,0.6012,8,9,1,0,0,0,
06/17/2025,2,GD1.16 ,0.5642,20,8,1,1,0,0,
06/17/2025,2,GD1.17,0.6035,10,8,2,0,0,0,
06/17/2025,2,GD1.18,0.5722,18,8,2,0,0,0,
06/17/2025,2,GD1.19,0.6717,20,8,2,0,0,0,
06/17/2025,2,GD1.20,0.5141,25,5,5,0,0,0,
06/17/2025,2,GD2.21,0.7795,25,8,2,0,0,0,
06/17/2025,2,GD2.22,0.6413,10,7,2,1,0,0,
06/17/2025,2,GD2.23,0.7497,45,7,2,1,0,0,
06/17/2025,2,GD2.24,1.2495,35,10,0,0,0,0,
06/17/2025,2,GD2.25,0.5174,5,10,0,0,0,0,
06/17/2025,1,C3.11,0.5748,N/A,10,0,0,0,0,
06/17/2025,1,C3.12,0.7402,N/A,10,0,0,0,0,
06/17/2025,1,C3.13,0.7928,N/A,10,0,0,0,0,
06/17/2025,1,C3.14,0.7391,N/A,10,0,0,0,0,
06/17/2025,1,C3.15,0.6912,N/A,10,0,0,0,0,
06/17/2025,1,LD1.26,0.8309,N/A,10,0,0,0,0,
06/17/2025,1,LD1.27,0.7011,N/A,10,0,0,0,0,
06/17/2025,1,LD1.28,0.6418,N/A,10,0,0,0,0,
06/17/2025,1,LD1.29,0.6947,N/A,10,0,0,0,0,
06/17/2025,1,LD1.30,0.7554,N/A,10,0,0,0,0,
06/17/2025,1,LD2.31,0.5892,N/A,10,0,0,0,0,
06/17/2025,1,LD2.32,0.601,N/A,10,0,0,0,0,
06/17/2025,1,LD2.33,0.6787,N/A,10,0,0,0,0,
06/17/2025,1,LD2.34,0.7392,N/A,10,0,0,0,0,
06/17/2025,1,LD2.35,0.6552,N/A,10,0,0,0,0,
06/18/2025,3,C1.1 ,0.8415,50,7,3,0,0,0,*browning dead for GD injected. Sticky dead for H20. More defication in dosed dishes (including dsRNA control)
06/18/2025,3,C1.2,0.8065,65,9,0,1,0,0,
06/18/2025,3,C1.3,0.6354,85,6,4,0,0,0,
06/18/2025,3,C1.4,1.0403,90,10,0,0,0,0,
06/18/2025,3,C1.5,1.133,100,9,0,1,0,0,
06/18/2025,3,C2.6 ,0.3557,18,4,4,0,0,0,
06/18/2025,3,C2.7,0.5477,8,3,5,1,0,0,
06/18/2025,3,C2.8,0.415,25,6,3,0,0,0,
06/18/2025,3,C2.9,0.6045,15,5,1,2,0,0,
06/18/2025,3,C2.10,0.3505,10,4,5,1,0,0,
06/18/2025,3,GD1.16 ,0.491,15,5,4,0,0,0,
06/18/2025,3,GD1.17,0.2609,8,3,5,0,0,0,
06/18/2025,3,GD1.18,0.2679,5,2,4,2,0,0,
06/18/2025,3,GD1.19,0.1419,2,1,6,1,0,0,
06/18/2025,3,GD1.20,0.3937,1,3,1,1,0,0,
06/18/2025,3,GD2.21,0.7075,70,5,3,0,0,0,
06/18/2025,3,GD2.22,0.4358,17,2,4,2,0,0,
06/18/2025,3,GD2.23,0.4476,10,3,2,2,0,0,
06/18/2025,3,GD2.24,0.7709,12,6,4,0,0,0,
06/18/2025,3,GD2.25,0.2092,7,3,5,1,0,0,
06/18/2025,2,C3.11,0.4066,12,5,3,2,0,0,
06/18/2025,2,C3.12,0.5281,15,6,4,0,0,0,
06/18/2025,2,C3.13,0.796,45,10,0,0,0,0,
06/18/2025,2,C3.14,0.9423,55,9,1,0,0,0,
06/18/2025,2,C3.15,0.7141,50,6,2,2,0,0,
06/18/2025,2,LD1.26,0.823,20,8,1,1,0,0,
06/18/2025,2,LD1.27,0.6265,18,5,3,2,0,0,
06/18/2025,2,LD1.28,0.7813,50,9,1,0,0,0,
06/18/2025,2,LD1.29,0.5367,45,6,4,0,0,0,
06/18/2025,2,LD1.30,0.7374,25,6,1,3,0,0,
06/18/2025,2,LD2.31,0.5742,18,5,4,1,0,0,
06/18/2025,2,LD2.32,0.5664,60,5,2,3,0,0,
06/18/2025,2,LD2.33,0.6381,12,9,1,0,0,0,
06/18/2025,2,LD2.34,0.9321,10,9,1,0,0,0,
06/18/2025,2,LD2.35,0.3297,5,4,4,2,0,0,
06/19/2025,4,C1.1 ,1.0495,80,7,0,0,0,0,
06/19/2025,4,C1.2,0.994,90,8,2,0,0,0,
06/19/2025,4,C1.3,0.9459,80,6,0,0,0,0,
06/19/2025,4,C1.4,1.3903,65,10,0,0,0,0,
06/19/2025,4,C1.5,1.2679,100,9,1,0,0,0,
06/19/2025,4,C2.6 ,0.3106,15,2,2,0,0,0,
06/19/2025,4,C2.7,0.3436,8,2,3,1,0,0,
06/19/2025,4,C2.8,0.3734,20,3,1,0,0,0,
06/19/2025,4,C2.9,0.3417,10,2,5,0,0,0,
06/19/2025,4,C2.10,0.3115,15,2,2,0,0,0,
06/19/2025,4,GD1.16 ,0.3704,2,2,3,0,0,0,
06/19/2025,4,GD1.17,0.2311,1,1,2,0,0,0,
06/19/2025,4,GD1.18,0.1007,1,1,3,0,0,0,
06/19/2025,4,GD1.19,N/A,0,0,2,0,0,0,
